,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders
1,RK,PLAYER,TEAM,RESULT,CAR,YDS,AVG,TD,LNG,FUM,
2,1,"Kenyan Drake, RB",BAL,L 24-20 at NYG,10,119,11.9,1,30,0,
3,2,"Breece Hall, RB",NYJ,W 27-10 at GB,20,116,5.8,1,34,0,
4,3,"Kyler Murray, QB",ARI,L 19-9 at SEA,10,100,10.0,0,42,1,
5,4,"Alvin Kamara, RB",NO,L 30-26 vs. CIN,19,99,5.2,0,24,0,
6,5,"Kenneth Walker III, RB",SEA,W 19-9 vs. ARI,21,97,4.6,1,34,0,
7,6,"Justin Fields, QB",CHI,L 12-7 vs. WSH,12,88,7.3,0,39,0,
8,7,"Travis Etienne Jr., RB",JAX,L 34-27 at IND,10,86,8.6,0,48,0,
9,8,"Devin Singletary, RB",BUF,W 24-20 at KC,17,85,5.0,0,14,0,
10,9,"Saquon Barkley, RB",NYG,W 24-20 vs. BAL,22,83,3.8,1,8,0,
11,10,"Ezekiel Elliott, RB",DAL,L 26-17 at PHI,13,81,6.2,1,14,0,
12,11,"Lamar Jackson, QB",BAL,L 24-20 at NYG,7,77,11.0,0,25,1,
13,12,"Dalvin Cook, RB",MIN,W 24-16 at MIA,13,77,5.9,1,53,0,
14,13,"Rhamondre Stevenson, RB",NE,W 38-15 at CLE,19,76,4.0,2,31,0,
15,14,"Khalil Herbert, RB",CHI,L 12-7 vs. WSH,7,75,10.7,0,64,0,
16,15,"Miles Sanders, RB",PHI,W 26-17 vs. DAL,18,71,3.9,1,13,0,
17,16,"Christian McCaffrey, RB",CAR,L 24-10 at LAR,13,69,5.3,0,17,0,
18,17,"David Montgomery, RB",CHI,L 12-7 vs. WSH,15,67,4.5,0,13,0,
19,18,"Latavius Murray, RB",DEN,L 19-16 at LAC,15,66,4.4,0,14,0,
20,19,"Leonard Fournette, RB",TB,L 20-18 at PIT,21,63,3.0,0,13,0,
21,20,"Brian Robinson Jr., RB",WSH,W 12-7 at CHI,17,60,3.5,1,16,0,
22,21,"Caleb Huntley, RB",ATL,W 28-14 vs. SF,16,59,3.7,0,16,0,
23,22,"JaMycal Hasty, RB",JAX,L 34-27 at IND,3,57,19.0,1,61,0,
24,23,"Nick Chubb, RB",CLE,L 38-15 vs. NE,12,56,4.7,0,18,0,
25,24,"James Robinson, RB",JAX,L 34-27 at IND,12,54,4.5,0,14,0,
26,25,"Tyler Allgeier, RB",ATL,W 28-14 vs. SF,15,51,3.4,0,8,0,
27,26,"Marcus Mariota, QB",ATL,W 28-14 vs. SF,6,50,8.3,1,20,0,
28,27,"Raheem Mostert, RB",MIA,L 24-16 vs. MIN,14,49,3.5,0,16,0,
29,28,"Geno Smith, QB",SEA,W 19-9 vs. ARI,6,48,8.0,0,24,0,
30,29,"Mark Ingram II, RB",NO,L 30-26 vs. CIN,9,46,5.1,0,14,0,
31,30,"Joe Mixon, RB",CIN,W 30-26 at NO,8,45,5.6,0,10,0,
